# iterator, reward, timestamp 
188,-27.43714814548708,1647583032.8819695
189,-28.542541215899465,1647583035.8842103
190,-27.95142434171166,1647583038.8884354
191,-28.2175801633314,1647583041.89332
192,-28.572072043207275,1647583044.8972082
193,-28.443961552975328,1647583047.900505
194,-28.01008954847571,1647583050.9055634
195,-27.57269941850309,1647583053.9104676
196,-27.918438499904454,1647583056.9155142
197,-27.579497877522723,1647583059.9211402
198,-27.598623627382235,1647583062.9255474
199,-27.613837610234146,1647583065.929895
200,-28.680350665095045,1647583068.933017
201,-27.484237343995584,1647583071.937478
202,-27.658024115421856,1647583074.9422023
203,-27.253386397815827,1647583077.945425
204,-28.065666346222024,1647583080.9506896
205,-28.52377582839799,1647583083.9549668
206,-27.79916893928224,1647583086.9595854
207,-27.647489934096384,1647583089.9635923
208,-29.7240843057684,1647583092.9675992
209,-29.305384603995833,1647583095.971966
210,-28.104651771110284,1647583098.976445
211,-28.26398830915819,1647583101.9817595
212,-27.380821976429935,1647583104.986712
213,-29.08868973827254,1647583107.9913912
214,-27.812063508202378,1647583110.9947903
215,-28.543684067546835,1647583113.9987571
216,-28.19730315302763,1647583117.0032632
217,-26.985856461035365,1647583120.0081701
218,-28.854786102558492,1647583123.01265
219,-26.993237690115972,1647583126.017405
220,-27.057248525784846,1647583129.0231035
221,-28.798551617267222,1647583132.0289683
222,-26.845674937988996,1647583135.0330887
223,-28.356356326145338,1647583138.0372653
224,-27.838006541572035,1647583141.0408273
225,-27.61372467591235,1647583144.0454166
226,-27.94634468708459,1647583147.0508435
227,-28.208930043793725,1647583150.0545077
228,-28.683704752637205,1647583153.059089
229,-26.486536084164126,1647583156.0628028
230,-27.885277128782526,1647583159.0685213
231,-26.75702259135838,1647583162.073508
232,-27.140425749761146,1647583165.0773323
233,-27.790153494863986,1647583168.0808713
234,-27.18801883586526,1647583171.0849102
235,-27.837331854024335,1647583174.0898964
236,-26.98790822551731,1647583177.0950298
237,-29.247521303891272,1647583180.099436
238,-27.528870735731335,1647583183.1042087
239,-28.26253369649244,1647583186.1088874
240,-27.907653818230184,1647583189.1130717
241,-29.109440314904894,1647583192.1169553
242,-29.241662240987164,1647583195.1217864
243,-27.407509151154116,1647583198.126862
244,-29.010031660426552,1647583201.1308718
245,-27.167908297742578,1647583204.135635
246,-27.181074951675935,1647583207.1406336
247,-26.627774757310426,1647583210.1452258
248,-27.59062598597653,1647583213.1500993
249,-27.888520788634708,1647583216.1542084
250,-27.636907241148176,1647583219.158647
251,-27.91790837260227,1647583222.1626325
252,-27.296401625666835,1647583225.167455
253,-27.03677536612141,1647583228.1716805
254,-27.88127972113223,1647583231.1765265
255,-27.98852610429886,1647583234.18165
256,-27.85992276463168,1647583237.185265
257,-27.698214673980747,1647583240.1906939
258,-27.548067485079656,1647583243.194582
259,-27.652638092883993,1647583246.1997857
260,-27.781125094380563,1647583249.2038198
261,-26.082903802570772,1647583252.2087069
262,-26.18406209672412,1647583255.2134845
263,-27.88447681163512,1647583258.2181985
264,-27.20322310663838,1647583261.222761
265,-27.749011148781943,1647583264.2273128
266,-25.773378583407965,1647583267.2320917
267,-28.32674289179848,1647583270.2354057
268,-26.994108966070694,1647583273.240645
269,-27.482853660300172,1647583276.244616
270,-27.723436359123887,1647583279.2486331
271,-27.1665281472397,1647583282.2535803
272,-27.151073710185358,1647583285.2579184
273,-28.370273019478528,1647583288.261981
274,-26.82004342182094,1647583291.2682235
275,-26.532950369555216,1647583294.2721398
276,-27.131098543241603,1647583297.275868
277,-27.031366261353114,1647583300.280398
278,-28.465126577325506,1647583303.2844496
279,-27.891333178750585,1647583306.288561
280,-27.143688739140803,1647583309.2928967
281,-27.124260678478414,1647583312.297286
282,-28.33153909995068,1647583315.3015225
283,-29.006804320073982,1647583318.3072433
284,-28.610060535369126,1647583321.3113346
285,-27.387278678304607,1647583324.3155725
286,-30.36989809148619,1647583327.3197374
287,-27.38493641699116,1647583330.3245456
288,-27.665325955782738,1647583333.3294406
289,-25.74228725692449,1647583336.332885
290,-25.292703130593807,1647583339.3369517
291,-25.306109117083565,1647583342.3407915
292,-25.18653712887418,1647583345.3445103
293,-24.78859422004416,1647583348.3483143
294,-26.215765096986747,1647583351.351546
295,-25.978536906094668,1647583354.3558216
296,-27.178340956453674,1647583357.3598533
297,-24.921811907837714,1647583360.3649075
298,-25.357460498978984,1647583363.3687332
299,-26.517394440282786,1647583366.3718498
300,-25.852298563865723,1647583369.3760936
301,-26.943142628142144,1647583372.3793871
302,-25.594428615014333,1647583375.3831525
303,-25.07684585581031,1647583378.3867185
304,-24.70550327683827,1647583381.3916347
305,-25.710068770195168,1647583384.3948884
306,-26.031522021601976,1647583387.3989384
307,-25.68607099197078,1647583390.4031374
308,-25.378982452987465,1647583393.4074347
309,-24.940393561410826,1647583396.4114702
310,-26.380673568304946,1647583399.4158375
311,-30.520877508517355,1647583402.4195561
312,-24.812368326084144,1647583405.4227903
313,-23.921176953602735,1647583408.4266043
314,-24.756472725795273,1647583411.4298167
315,-25.69710544367536,1647583414.4341874
316,-25.998394546504507,1647583417.4385471
317,-26.4214932070887,1647583420.4425972
318,-26.201801829586536,1647583423.446375
319,-26.443809681906785,1647583426.4506872
320,-25.679315169598567,1647583429.4536922
321,-27.60558505955639,1647583432.4573548
322,-25.80357964156476,1647583435.4610102
323,-27.461618167820934,1647583438.4651136
324,-26.84896803109905,1647583441.4699059
325,-24.906020899570905,1647583444.4745073
326,-27.210123817963176,1647583447.4775643
327,-66.19499686530355,1647583450.4819555
328,-27.53683068019182,1647583453.485225
329,-27.49292336624469,1647583456.489024
330,-25.541521526498297,1647583459.493089
331,-26.245040201934764,1647583462.496576
332,-26.320972648454724,1647583465.5009677
333,-25.894539091343777,1647583468.5043013
334,-23.717256442382567,1647583471.508077
335,-25.707570195318354,1647583474.5120697
336,-25.732331109370016,1647583477.5154188
337,-26.35140563896488,1647583480.518436
338,-25.681754362211755,1647583483.5227056
339,-25.646339775533036,1647583486.5253425
340,-26.122626519010694,1647583489.5289524
341,-25.49629596636052,1647583492.5323005
342,-26.947716638889634,1647583495.5359302
343,-25.588036454595603,1647583498.5397346
344,-25.628642457725515,1647583501.5437365
345,-25.963950671393217,1647583504.5467284
346,-24.595197814733734,1647583507.551743
347,-27.26740139306806,1647583510.5552466
348,-25.454148094827023,1647583513.5591023
349,-24.45709634309443,1647583516.5623972
350,-24.48775570875554,1647583519.5660238
351,-25.694793435025684,1647583522.569421
352,-25.72736464273819,1647583525.5734644
353,-25.870070652469195,1647583528.5765624
354,-26.161008591033415,1647583531.5802777
355,-24.704969018999602,1647583534.5833907
356,-30.15003687508555,1647583537.5870116
357,-26.61392335264782,1647583540.5919223
358,-22.7039658777688,1647583543.5953388
359,-24.161696389027036,1647583546.598376
360,-26.15180343346399,1647583549.6007123
361,-25.54793966752493,1647583552.6043904
362,-27.333501014474724,1647583555.6075711
363,-25.67312003838144,1647583558.6110635
364,-25.416087118124587,1647583561.6152997
365,-28.36985807842342,1647583564.6189904
366,-25.990756348841035,1647583567.6198695
367,-26.976011044071583,1647583570.6239734
368,-26.851914813938787,1647583573.6282535
369,-27.498255905828785,1647583576.6319945
370,-25.274492679456944,1647583579.6357355
371,-27.922005177574757,1647583582.639595
372,-25.780601061913476,1647583585.643555
373,-30.89666656919229,1647583588.646779
374,-25.46449324869149,1647583591.6500826
375,-26.938754128172526,1647583594.6560936
376,-24.99466676042361,1647583597.659161
377,-25.35836836259127,1647583600.6613557
378,-26.482616265821733,1647583603.665335
379,-25.560511216897392,1647583606.6691766
380,-24.573071151055892,1647583609.6726923
381,-22.918346929559096,1647583612.6825566
382,-24.77874163061216,1647583615.6880708
383,-23.886068567684028,1647583618.6917562
384,-25.912412791192775,1647583621.6993327
385,-25.23249648099823,1647583624.703377
386,-25.776823325206134,1647583627.7089038
387,-26.542460437773123,1647583630.7149837
388,-28.140416735524383,1647583633.7184665
389,-25.499647683024037,1647583636.726359
390,-27.393629890430113,1647583639.7314222
391,-26.95104691492604,1647583642.7386107
392,-28.4924432622413,1647583645.7443278
393,-31.348353061417324,1647583648.7528336
394,-30.70405050714692,1647583651.7590427
395,-30.555703975035918,1647583654.7618492
396,-28.628439056844748,1647583657.765428
397,-30.672313825039584,1647583660.770129
398,-29.2341402611615,1647583663.7719831
399,-28.490255690985396,1647583666.7753656
400,-29.717412377143468,1647583669.7815998
401,-27.685237577855997,1647583672.7856498
402,-28.42065588367537,1647583675.7909217
403,-27.498899756903228,1647583678.7955585
404,-28.674742382287047,1647583681.8002193
405,-26.251117869450656,1647583684.8036544
406,-29.582956367557806,1647583687.8073428
407,-30.99175794310161,1647583690.8114905
408,-28.161511916898043,1647583693.8167224
409,-28.039020424407166,1647583696.8213053
410,-27.314179519496538,1647583699.8262246
411,-27.026695463491368,1647583702.8316512
412,-27.38313238557111,1647583705.8366916
413,-28.16679552427624,1647583708.8411896
414,-27.859643677885135,1647583711.8452969
415,-28.059331192994637,1647583714.851198
416,-24.516383253848726,1647583717.8554933
417,-28.30992235173776,1647583720.8595397
418,-27.860875071497492,1647583723.8640895
419,-27.5285672401089,1647583726.87156
420,-29.038470773759517,1647583729.8769488
421,-27.729169563285865,1647583732.8819404
422,-27.051179006107585,1647583735.8852243
423,-27.362332332455896,1647583738.8886633
424,-27.44750721288565,1647583741.89344
425,-26.705571977789177,1647583744.8972638
426,-28.691682720812075,1647583747.9019313
427,-27.811085219054792,1647583750.9055305
428,-26.73435323836465,1647583753.9106166
429,-27.65160414372816,1647583756.9156792
430,-27.9361466328535,1647583759.920321
431,-27.867055557593364,1647583762.9247472
432,-27.49057396496717,1647583765.9286494
433,-28.159844452874157,1647583768.9333975
434,-27.69880978095352,1647583771.937965
435,-28.321483876181528,1647583774.9418204
436,-27.713808404994342,1647583777.9468946
437,-27.316137075716753,1647583780.9506621
438,-28.867872530303682,1647583783.9545488
439,-28.07740558600924,1647583786.9588444
440,-33.37292717608893,1647583789.9636009
441,-27.572050624996823,1647583792.9681256
442,-27.03581847167677,1647583795.9728246
443,-28.37634212735215,1647583798.9769795
444,-25.740283492865018,1647583801.9824927
445,-27.71232645365131,1647583804.9874194
446,-26.98069222716098,1647583807.9919314
447,-26.707214844963083,1647583810.9962091
448,-26.990062140378342,1647583814.0014124
