# iterator, reward, timestamp 
141,-27.96142134278118,1647892193.6107283
142,-24.550346782036474,1647892196.6210253
143,-26.777548070211342,1647892199.6245418
144,-26.781338629436778,1647892202.6277254
145,-34.640938467864984,1647892205.6320055
146,-26.096530434424878,1647892208.6346326
147,-27.88914698486992,1647892211.638423
148,-26.596452521566952,1647892214.642558
149,-26.420511586601798,1647892217.64554
150,-23.70864928818272,1647892220.6497345
151,-26.785177602073357,1647892223.6542606
152,-26.89792580579526,1647892226.6586199
153,-27.245745957726058,1647892229.66241
154,-27.670500177730084,1647892232.6668897
155,-25.7164737583452,1647892235.6706173
156,-26.54154183123393,1647892238.6750166
157,-25.153709799588857,1647892241.679138
158,-26.080027732264075,1647892244.6821117
159,-26.603170657760543,1647892247.6877623
160,-25.450451482555323,1647892250.6947823
